symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,all,ok,2021-11-18 00:00:00+00:00,2026-07-06 00:00:00+00:00,1692,132,0.029049700143224208,0.6818181818181818,2.6827229067464353,0.007302546805892041,True,1692,0.0022138733454939896,0.02683582679773022,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,358,0.01826551998266004,0.010784180160564167,0.023501142177502876
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,16,0.02962815175897087,0.6875,0.8467464139444526,0.3971364821468677,False,366,-0.007093229194667706,0.036721380953638576,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat,22,0.033888861609151916,-0.004260709850181045,0.21200862037561663
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,33,0.05227653260011825,0.8181818181818182,3.0223867687849792,0.0025078988880031794,True,365,0.009329605647915918,0.04294692695220233,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,79,0.03511588788314314,0.017160644716975107,0.04366982914549333
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,8,-0.03569455417881612,0.25,-3.23493185682472,0.0012167176535293756,False,187,0.017182586385528335,-0.05287714056434445,state_ext=stretched_down,98,0.02329307736769654,-0.05898763154651265,0.07232317723318604
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,19,0.02115186160715584,0.5789473684210527,0.8605831257745649,0.3894676828998742,False,366,0.01045890240819578,0.01069295919896006,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,32,0.03120406060969305,-0.010052199002537211,0.044784162312278
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,8,-0.03569455417881612,0.25,-3.23493185682472,0.0012167176535293756,False,182,0.01769311185914215,-0.05338766603795827,state_ext=stretched_down,98,0.02329307736769654,-0.05898763154651265,0.07232317723318604
CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,all,ok,2023-08-18 00:00:00+00:00,2026-07-06 00:00:00+00:00,1054,84,0.04089322049104583,0.7142857142857143,2.8357539850316322,0.004571764745163742,True,1054,-0.0032821242322698643,0.0441753447233157,cross_ETH/USD_state_ext=neutral,149,0.02701157932935555,0.01388164116169028,0.025588423809983496
CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,25,0.05679944179536881,0.72,2.1943945529562803,0.028207057166222516,True,366,-0.017895478617515517,0.07469492041288434,cross_ETH/USD_state_ext=neutral,35,0.039503135333602335,0.017296306461766477,0.055917457628216205
CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,29,0.06778775402707717,0.8620689655172413,3.034663596343195,0.002408041165094632,True,365,0.004549795313506514,0.06323795871357066,cross_ETH/USD_state_ext=neutral,41,0.06734577874672716,0.00044197528035000433,0.00045647382631730515
CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,10,0.017057261975211502,0.6,1.357606169896454,0.1745886841458777,False,187,0.01524847853484226,0.0018087834403692424,state_ext=stretched_down,101,0.010787141644790915,0.006270120330420587,0.5054769869867324
CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,25,0.02498278258914766,0.68,1.5548026648339712,0.1199930742908264,False,366,0.007252123140621248,0.017730659448526413,cross_ETH/USD_state_ext=neutral,57,0.018909265821784232,0.006073516767363427,0.31193872819699986
CRV/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,10,0.017057261975211502,0.6,1.357606169896454,0.1745886841458777,False,182,0.015543333183017139,0.0015139287921943634,state_ext=stretched_down,101,0.010787141644790915,0.006270120330420587,0.5054769869867324
