symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,bin_mode
ADI,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,regime_warmup,ADI,ok,199,0,,,,,False,0.004829738526842,,state_ext=stretched_down,0.0234807104819025,,rolling
ADI,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,all,USO,ok,5022,264,0.0142708172788649,0.6704545454545454,2.949127383809629,0.003186725958904,True,0.0035354107525302,0.0107354065263347,cross_TLT_state_ext=stretched_up + state_ext=stretched_down,0.0110158782238003,0.0032549390550645,rolling
ADI,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,bull,USO,ok,1451,7,0.0180965780552647,0.5714285714285714,1.4298767821974383,0.1527523868199716,False,6.687339405010279e-05,0.0180297046612146,cross_USO_state_slope=downtrend + state_ext=stretched_down,0.0179067181693429,0.0001898598859218,rolling
ADI,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,bear,USO,ok,1237,156,0.0156046896583644,0.6858974358974359,2.0838701883890685,0.0371719767158265,True,0.006500562639263,0.0091041270191013,cross_TLT_state_ext=stretched_up + state_ext=stretched_down,0.0137898460191165,0.0018148436392478,rolling
ADI,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,neutral,USO,ok,2135,101,0.0119454270151351,0.6534653465346535,2.310322126569218,0.0208703268212793,True,0.0040540915938314,0.0078913354213037,cross_TLT_state_ext=stretched_up + state_ext=stretched_down,0.0133528623418016,-0.0014074353266664,rolling
ADI,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_down,regime_warmup,USO,ok,199,0,,,,,False,0.004829738526842,,state_ext=stretched_down,0.0234807104819025,,rolling
AMZN,1d,state_ext=neutral + state_slope=flat + state_vol=low_vol,all,AMZN,ok,5022,485,0.0139210013477938,0.6577319587628866,5.2376216177380295,1.6265911284563117e-07,True,0.006272266102397,0.0076487352453968,state_ext=neutral + state_vol=low_vol,0.0130989769240862,0.0008220244237076,rolling
AMZN,1d,state_ext=neutral + state_slope=flat + state_vol=low_vol,bull,AMZN,ok,2443,353,0.0113412153877912,0.6685552407932012,3.8481082511088354,0.0001190334565062,True,0.0044778273791378,0.0068633880086533,state_ext=neutral + state_vol=low_vol,0.0105910147539849,0.0007502006338062,rolling
AMZN,1d,state_ext=neutral + state_slope=flat + state_vol=low_vol,bear,AMZN,ok,530,30,0.0254896633289549,0.7,2.267788521418977,0.0233420993626602,True,0.0107488841014,0.0147407792275548,state_slope=flat + state_vol=low_vol,0.0232349474713456,0.0022547158576092,rolling
AMZN,1d,state_ext=neutral + state_slope=flat + state_vol=low_vol,neutral,AMZN,ok,1850,102,0.0194465364894221,0.6078431372549019,3.072791095622524,0.002120668878208,True,0.0051658698596977,0.0142806666297244,state_ext=neutral + state_vol=low_vol,0.0202157918347735,-0.0007692553453513,rolling
AMZN,1d,state_ext=neutral + state_slope=flat + state_vol=low_vol,regime_warmup,AMZN,ok,199,0,,,,,False,0.0266644234413116,,state_ext=neutral,0.0205237851930329,,rolling
ARKK,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,all,USO,ok,2948,110,0.0327976734574054,0.6636363636363637,4.450517494708481,8.566361449080517e-06,True,0.0035500772002763,0.029247596257129,cross_USO_state_ext=stretched_down + state_ext=stretched_down,0.0133663187063883,0.019431354751017,rolling
ARKK,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,bull,USO,ok,836,27,0.0221486879222535,0.5925925925925926,1.3662641542141312,0.1718560676809213,False,-0.0049684129550005,0.027117100877254,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend,0.0153028702132245,0.0068458177090289,rolling
ARKK,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,bear,USO,ok,804,36,0.0390745816598409,0.7222222222222222,3.860980749631172,0.0001129328018603,True,0.0079024887758886,0.0311720928839523,cross_TLT_state_slope=downtrend + state_ext=stretched_down,0.0273508013399096,0.0117237803199312,rolling
ARKK,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,neutral,USO,ok,1308,47,0.0341073312055207,0.6595744680851063,3.2345628399558453,0.0012182910802338,True,0.0063192812239913,0.0277880499815293,cross_USO_state_ext=stretched_down + state_ext=stretched_down,0.0207095520914565,0.0133977791140642,rolling
ARKW,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,all,ARKW,ok,2971,72,0.0224196424155846,0.75,4.573380441176751,4.799175792546961e-06,True,0.0047210423120111,0.0176986001035734,state_volume=vol_normal + state_slope=uptrend,0.0125947626371651,0.0098248797784194,rolling
ARKW,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,bull,ARKW,ok,1378,48,0.0212394439600844,0.7083333333333334,3.704822850202973,0.0002115385201741,True,0.0091635928569774,0.012075851103107,state_ext=neutral + state_slope=uptrend,0.0196950080770553,0.001544435883029,rolling
ARKW,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,bear,ARKW,ok,382,2,0.0503822000608194,0.5,1.2573259555313476,0.208635629019992,False,0.0002258804041983,0.0501563196566211,state_volume=vol_normal + state_slope=uptrend,0.0233436800000397,0.0270385200607796,rolling
ARKW,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,neutral,ARKW,ok,1012,22,0.0224525701689273,0.8636363636363636,3.818653790134531,0.0001341819222053,True,0.0003631628300178,0.0220894073389094,state_volume=vol_normal + state_slope=uptrend,0.0045394655255208,0.0179131046434064,rolling
ARKW,1d,state_volume=vol_normal + state_ext=neutral + state_slope=uptrend,regime_warmup,ARKW,ok,199,0,,,,,False,0.0047486364506963,,state_ext=neutral,0.0081375375469517,,rolling
ARKW,1d,state_volume=vol_normal + state_slope=uptrend,all,ARKW,ok,2971,664,0.0125947626371651,0.6370481927710844,4.489563524638012,7.136926185147274e-06,True,0.0047210423120111,0.0078737203251539,state_slope=uptrend,0.0096414964856182,0.0029532661515468,rolling
