rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
56,FUT/ZN,1h,state_session=afternoon + state_ext=neutral,rolling,4,short,rejected,rejected_unsupported,1483,False,672,False,-0.0002137767820921213,-4.473760202461689e-05,state_ext=neutral,-4.473760202461689e-05,0.003448544868027703,0,0000,0.0,0,0,0,7,1.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,4,False,False
57,FUT/ZN,1h,state_session=afternoon + state_slope=uptrend,rolling,4,short,rejected,rejected_unsupported,514,False,254,False,-0.000257935840571998,-8.889666050449359e-05,state_slope=uptrend,-0.00010614902200939918,0.008781447110131513,0,0000,0.0,0,0,0,7,1.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,8,False,False
58,FUT/ES,1h,state_ext=stretched_down + state_slope=downtrend,rolling,4,long,provisional,sample_starved_unsupported,20,True,8,False,0.0046230258059831355,0.004393145736161861,state_ext=stretched_down,-0.0006455351491629424,0.0008685042650042885,0,0000,0.0,0,8,0,7,1.75,provisional,rejected,rejected,rejected,rejected,provisional,provisional,provisional,131,2,False,False
59,FUT/ES,1h,state_session=afternoon + state_ext=stretched_down,rolling,4,long,provisional,sample_starved_unsupported,14,False,7,False,0.0036898780590799694,0.003459997989258695,state_ext=stretched_down,-0.0015786828960661086,0.0006513787490636247,0,0000,0.0,0,8,0,7,1.75,provisional,rejected,rejected,provisional,rejected,provisional,provisional,provisional,131,1,False,False
60,FUT/GC,1h,state_session=afternoon + state_slope=uptrend,rolling,4,long,rejected,rejected_unsupported,563,True,210,False,-0.0004150281361821885,2.431891251546592e-05,state_slope=uptrend,-4.764797625016068e-05,0.6376794085262918,2,1100,0.5,0,8,2,0,1.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,94,False,False
61,FUT/ZN,1h,state_session=morning + state_slope=uptrend,rolling,4,long,rejected,rejected_unsupported,534,False,268,False,-0.00032654290241102555,-9.558208247852993e-05,state_session=morning,-8.150999576136226e-05,0.0383539932499084,0,0000,0.0,0,2,0,6,1.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,17,False,False
62,FUT/ZN,1h,state_ext=neutral + state_slope=flat,rolling,4,short,rejected,rejected_unsupported,1277,False,515,False,-8.289767856912091e-05,8.614150149838351e-05,state_slope=flat,0.0,0.5066129199010212,0,0000,0.0,0,8,0,5,1.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,77,False,False
63,FUT/ZN,1h,state_ext=neutral + state_vol=mid_vol,rolling,4,short,rejected,rejected_unsupported,1133,False,578,False,-8.790095378849782e-05,8.113822627900661e-05,state_vol=mid_vol,0.0,0.34945200130285636,0,0000,0.0,0,8,0,5,1.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,63,False,False
64,FUT/ZN,1h,state_ext=neutral + state_slope=uptrend,rolling,4,short,rejected,rejected_unsupported,1159,False,575,False,-0.00015178681856259883,1.725236150490559e-05,state_slope=uptrend,0.0,0.11126398810247973,0,0000,0.0,0,6,0,5,1.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,34,False,False
65,FUT/ZN,1h,state_session=lunch + state_ext=neutral,rolling,4,short,rejected,rejected_unsupported,352,False,148,False,-4.9102743020066025e-05,0.0001199364370474384,state_session=lunch,0.0,0.77145997368341,0,0000,0.0,0,8,0,4,1.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,105,False,False
66,FUT/GC,1h,state_ext=neutral + state_vol=low_vol,rolling,4,short,rejected,rejected_unsupported,537,False,228,False,0.001543270989007111,0.001503923940309456,state_vol=low_vol,0.0,0.08371891177936863,1,0010,0.25,0,8,0,1,0.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,29,False,False
67,FUT/ES,1h,state_ext=neutral + state_vol=low_vol,rolling,4,short,rejected,rejected_unsupported,872,False,438,False,-0.00010524500384489553,0.0005246350659763787,state_vol=low_vol,0.0,0.7105978063181944,0,0000,0.0,0,8,0,3,0.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,100,False,False
68,FUT/ZN,1h,state_ext=neutral + state_slope=downtrend,rolling,4,long,rejected,rejected_unsupported,1299,False,605,False,-0.00014123688416887878,8.972393576361684e-05,state_slope=downtrend,0.0,0.1563730407741657,0,0000,0.0,0,8,0,3,0.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,43,False,False
69,FUT/CL,1h,state_ext=neutral + state_vol=low_vol,rolling,4,short,rejected,rejected_unsupported,883,False,37,False,0.0026848528176448365,0.0025919513205270614,state_vol=low_vol,-0.0006452016558611369,0.5463307487695719,1,0010,0.25,0,8,0,0,0.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,82,False,False
70,FUT/ES,1h,state_ext=stretched_up + state_slope=uptrend,rolling,4,long,rejected,sample_starved_unsupported,4,False,13,False,0.0015754923484768745,0.0013456122786556,state_ext=stretched_up,0.0,0.014899407419967314,0,0000,0.0,0,7,1,5,0.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,12,False,False
71,FUT/NQ,1h,state_session=morning + state_slope=flat,rolling,4,short,rejected,rejected_unsupported,651,False,231,False,-0.0010702988867595136,-0.00021009257402943428,state_session=morning,-0.00020734850952727117,0.06711822090004493,0,0000,0.0,0,1,1,5,0.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,26,False,False
72,FUT/CL,1h,state_ext=neutral + state_slope=flat,rolling,4,short,rejected,rejected_unsupported,1157,False,270,False,0.0007774108658828062,0.0006845093687650309,state_ext=neutral,-0.00024317556518318507,0.6463844560442045,0,0000,0.0,0,8,2,0,0.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,131,95,False,False
