symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent
FUT/GC,1h,state_ext=neutral + state_slope=downtrend,all,FUT/GC,ok,5841,1913,0.00030483690822576457,0.47255619445896496,0.9218695976235126,0.35659659905488583,False,-0.0004032233364454897,0.0007080602446712543,state_slope=downtrend,0.00031599801246848887,-1.11611042427243e-05
FUT/GC,1h,state_ext=neutral + state_slope=downtrend,bull,FUT/GC,ok,2022,302,0.0009126183321320362,0.49337748344370863,1.2871178503664995,0.1980532146021301,False,-0.0006608266803396388,0.0015734450124716749,state_slope=downtrend,0.000800526205377052,0.00011209212675498416
FUT/GC,1h,state_ext=neutral + state_slope=downtrend,bear,FUT/GC,ok,1348,777,-0.00011666756008858449,0.45817245817245816,-0.22699899965444967,0.8204245200273135,False,-0.00045055691382814403,0.00033388935373955954,state_slope=downtrend,-6.848976001992242e-05,-4.8177800068662074e-05
FUT/GC,1h,state_ext=neutral + state_slope=downtrend,neutral,FUT/GC,ok,2272,834,0.0004774495963079649,0.4784172661870504,1.0594826445811036,0.28938002915986716,False,-0.00017254865818473842,0.0006499982544927033,state_slope=downtrend,0.0005212870283720991,-4.383743206413422e-05
FUT/GC,1h,state_ext=neutral + state_slope=downtrend,regime_warmup,FUT/GC,ok,199,0,,,,,False,-9.876728289091424e-05,,state_ext=neutral,-6.295908208889672e-05,
FUT/GC,1h,state_session=afternoon + state_slope=downtrend,all,FUT/GC,ok,5841,855,-0.00021003813737020596,0.4502923976608187,-0.4267153808999197,0.6695866462844537,False,-0.0004032233364454897,0.00019318519907528375,state_slope=downtrend,0.00031599801246848887,-0.0005260361498386949
FUT/GC,1h,state_session=afternoon + state_slope=downtrend,bull,FUT/GC,ok,2022,113,0.0014827131406240153,0.48672566371681414,1.182364067384043,0.23706127439962854,False,-0.0006608266803396388,0.002143539820963654,state_slope=downtrend,0.000800526205377052,0.0006821869352469633
FUT/GC,1h,state_session=afternoon + state_slope=downtrend,bear,FUT/GC,ok,1348,357,-2.010579945034847e-05,0.4425770308123249,-0.024969733821475482,0.9800791049898554,False,-0.00045055691382814403,0.0004304511143777956,state_slope=downtrend,-6.848976001992242e-05,4.838396056957395e-05
FUT/GC,1h,state_session=afternoon + state_slope=downtrend,neutral,FUT/GC,ok,2272,385,-0.000882990706333157,0.44675324675324674,-1.409145323268351,0.15879220138800365,False,-0.00017254865818473842,-0.0007104420481484186,state_slope=downtrend,0.0005212870283720991,-0.001404277734705256
FUT/GC,1h,state_session=afternoon + state_slope=downtrend,regime_warmup,FUT/GC,ok,199,0,,,,,False,-9.876728289091424e-05,,state_session=afternoon,0.0002703295641523617,
FUT/ZN,1h,state_session=morning + state_slope=downtrend,all,FUT/ZN,ok,5771,1014,-9.103399666860577e-05,0.4358974358974359,-1.006581973643868,0.3141357006715415,False,-0.00021434624160525248,0.00012331224493664672,state_session=morning,-0.00016866399739698992,7.763000072838415e-05
FUT/ZN,1h,state_session=morning + state_slope=downtrend,bull,FUT/ZN,ok,1385,58,-0.00019807704993232705,0.46551724137931033,-1.013899969290429,0.3106304860387863,False,-0.000282355062303052,8.427801237072496e-05,state_slope=downtrend,-0.00024129297078003293,4.321592084770588e-05
FUT/ZN,1h,state_session=morning + state_slope=downtrend,bear,FUT/ZN,ok,1640,501,-0.00015522217046851533,0.4351297405189621,-1.2575710243611802,0.2085469379324536,False,-0.00018568697313953083,3.0464802671015495e-05,state_session=morning,-0.00016911694874189394,1.3894778273378604e-05
