bar_ts_utc,close_adj,fwd_ret_5,state_ext,state_slope,state_vol,state_session,candidate_name,candidate_side,dir_fwd_ret_5,slice_combination
2022-07-07 04:00:00+00:00,118.76,-0.046564499831593165,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.046564499831593165,state_ext=stretched_down + state_slope=downtrend
2022-07-08 04:00:00+00:00,118.46,-0.020175586695931114,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.020175586695931114,state_ext=stretched_down + state_slope=downtrend
2022-07-11 04:00:00+00:00,116.98,0.02060181227560265,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.02060181227560265,state_ext=stretched_down + state_slope=downtrend
2022-07-12 04:00:00+00:00,114.23,0.08622953689923829,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.08622953689923829,state_ext=stretched_down + state_slope=downtrend
2022-07-13 04:00:00+00:00,115.2,0.10815972222222214,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.10815972222222214,state_ext=stretched_down + state_slope=downtrend
2022-07-14 04:00:00+00:00,113.23,0.09476287203038058,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.09476287203038058,state_ext=stretched_down + state_slope=downtrend
2022-07-15 04:00:00+00:00,116.07,0.044628241578357875,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.044628241578357875,state_ext=stretched_down + state_slope=downtrend
2022-09-15 04:00:00+00:00,141.05,-0.0858560794044666,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.0858560794044666,state_ext=stretched_down + state_slope=downtrend
2022-09-16 04:00:00+00:00,137.23,-0.13619470961160085,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.13619470961160085,state_ext=stretched_down + state_slope=downtrend
2022-09-19 04:00:00+00:00,135.99,-0.1558938157217442,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.1558938157217442,state_ext=stretched_down + state_slope=downtrend
2022-09-20 04:00:00+00:00,134.04,-0.12123246792002373,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.12123246792002373,state_ext=stretched_down + state_slope=downtrend
2022-09-21 04:00:00+00:00,131.26,-0.043387170501295036,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.043387170501295036,state_ext=stretched_down + state_slope=downtrend
2022-09-22 04:00:00+00:00,128.94,-0.03334884442376296,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.03334884442376296,state_ext=stretched_down + state_slope=downtrend
2022-09-23 04:00:00+00:00,118.54,0.05154378268938764,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.05154378268938764,state_ext=stretched_down + state_slope=downtrend
2022-09-26 04:00:00+00:00,114.79,0.15689519993030765,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.15689519993030765,state_ext=stretched_down + state_slope=downtrend
2022-09-27 04:00:00+00:00,117.79,0.18787672977332526,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.18787672977332526,state_ext=stretched_down + state_slope=downtrend
2022-09-28 04:00:00+00:00,125.565,0.13295902520606862,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.13295902520606862,state_ext=stretched_down + state_slope=downtrend
2022-09-29 04:00:00+00:00,124.64,0.1586168164313222,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.1586168164313222,state_ext=stretched_down + state_slope=downtrend
2022-09-30 04:00:00+00:00,124.65,0.1434416365824307,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.1434416365824307,state_ext=stretched_down + state_slope=downtrend
2022-12-01 05:00:00+00:00,149.05,-0.10862126803086214,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.10862126803086214,state_ext=stretched_down + state_slope=downtrend
2022-12-02 05:00:00+00:00,147.8,-0.118403247631935,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.118403247631935,state_ext=stretched_down + state_slope=downtrend
2022-12-05 05:00:00+00:00,140.96,-0.03937287173666293,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,-0.03937287173666293,state_ext=stretched_down + state_slope=downtrend
2022-12-06 05:00:00+00:00,137.1,0.004668125455871808,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.004668125455871808,state_ext=stretched_down + state_slope=downtrend
2022-12-07 05:00:00+00:00,135.91,0.007357810315649971,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.007357810315649971,state_ext=stretched_down + state_slope=downtrend
2022-12-08 05:00:00+00:00,132.86,0.035337949721511386,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.035337949721511386,state_ext=stretched_down + state_slope=downtrend
2022-12-09 05:00:00+00:00,130.3,0.037605525709899945,stretched_down,downtrend,high_vol,morning,XOP_1d_downtrend_rebound,long,0.037605525709899945,state_ext=stretched_down + state_slope=downtrend
